"","kegg_id","path","mono_mass","biofluids","diseases"
"69","C01697","hmdb/HMDB00107.xml","182.07903818","Amniotic Fluid/Blood/Cerebrospinal Fluid (CSF)/Urine","Galactosemia/Amniotic Fluid//Galactosemia/Blood//Alzheimer's disease/Cerebrospinal Fluid (CSF)//Galactosemia/Urine//Galactosemia/Urine"
"70","C00469","hmdb/HMDB00108.xml","46.041864814","Blood/Cerebrospinal Fluid (CSF)/Saliva/Urine","Heart Transplant/Blood//Alcohol intoxication/Blood//Drunk driver/Blood//Kidney disease/Blood//Cervical myelopathy/Cerebrospinal Fluid (CSF)//Lung cancer/Urine//ADPKD /Urine//Drunk driver/Urine"
"71","C00334","hmdb/HMDB00112.xml","103.063328537","Blood/Cerebrospinal Fluid (CSF)/Saliva/Urine","Hepatic encephalopathy/Blood//GABA transaminase deficiency/Blood//Alzheimer's disease/Blood//Spinocerebellar degeneration/Cerebrospinal Fluid (CSF)//Epilepsy /Cerebrospinal Fluid (CSF)//Febrile convulsions/Cerebrospinal Fluid (CSF)//Epilepsy /Cerebrospinal Fluid (CSF)//Epilepsy/Cerebrospinal Fluid (CSF)//GABA transaminase deficiency/Cerebrospinal Fluid (CSF)//Meningitis/Cerebrospinal Fluid (CSF)//Infant with typical pyridoxine-dependent seizures/Cerebrospinal Fluid (CSF)//Epilepsy /Cerebrospinal Fluid (CSF)//Tuberculous meningitis/Cerebrospinal Fluid (CSF)//Meningitis/Cerebrospinal Fluid (CSF)//Hyper beta-alaninemia/Urine//Type 1 diabetes Mellitus/Urine"
"72","C01233","hmdb/HMDB00114.xml","215.055873697","
  ",""
"73","C00160","hmdb/HMDB00115.xml","76.016043994","Blood/Cerebrospinal Fluid (CSF)/Urine","Hemodialysis /Blood//Hemodialysis/Blood//Ethylene Glycol Poisoning/Blood//Transurethral Prostatic Resection/Cerebrospinal Fluid (CSF)//Primary hyperoxaluria I/Urine//Lung cancer/Urine//Biliary atresia/Urine"
"74","C05582","hmdb/HMDB00118.xml","182.057908808","Blood/Cerebrospinal Fluid (CSF)/Urine","Schizophrenia /Blood//Schizophrenia /Blood//PNPO deficiency/Cerebrospinal Fluid (CSF)//Aromatic L-amino acid decarboxylase deficiency/Cerebrospinal Fluid (CSF)//Parkinsoni an syndrome/Cerebrospinal Fluid (CSF)//PNPO deficiency/Cerebrospinal Fluid (CSF)//PNPO deficiency/Cerebrospinal Fluid (CSF)//PNPO deficiency/Cerebrospinal Fluid (CSF)//PNPO deficiency/Cerebrospinal Fluid (CSF)//Epilepsy/Cerebrospinal Fluid (CSF)//Narcolepsy/Cerebrospinal Fluid (CSF)//Growth hormone deficiency/Cerebrospinal Fluid (CSF)//Schizophrenic disease/Cerebrospinal Fluid (CSF)//Schizophrenic disease/Cerebrospinal Fluid (CSF)//Leuprolide acetate-induce hypogonadism/Cerebrospinal Fluid (CSF)//Leuprolide acetate-induced hypogonadism with testosterone replacment/Cerebrospinal Fluid (CSF)//Epilepsy /Cerebrospinal Fluid (CSF)//Epilepsy /Cerebrospinal Fluid (CSF)//Epilepsy /Cerebrospinal Fluid (CSF)//Epilepsy /Cerebrospinal Fluid (CSF)//Major depression/Cerebrospinal Fluid (CSF)//Panic Disorder/Cerebrospinal Fluid (CSF)//Parkinson's disease/Cerebrospinal Fluid (CSF)//Olivopontocerebellar atrophy (OPCA)/Cerebrospinal Fluid (CSF)//Friedreich's ataxia/Cerebrospinal Fluid (CSF)//Spastic Ataxia/Cerebrospinal Fluid (CSF)//Autism/Cerebrospinal Fluid (CSF)//Hypothyroidism/Cerebrospinal Fluid (CSF)//Schizophrenia/Cerebrospinal Fluid (CSF)//Schizophrenia/Cerebrospinal Fluid (CSF)//Hypothyroidism/Cerebrospinal Fluid (CSF)//celiac disease/Cerebrospinal Fluid (CSF)//sepiapterin reductase deficiency/Cerebrospinal Fluid (CSF)//Parkinson disease /Cerebrospinal Fluid (CSF)//Aromatic L-amino acid decarboxylase deficiency/Urine//Hypertension (mild)/Urine//Hypertension (mild)/Urine"
"75","C00048","hmdb/HMDB00119.xml","74.00039393","Blood/Cerebrospinal Fluid (CSF)/Urine","Transurethral Prostatic Resection/Cerebrospinal Fluid (CSF)//Primary hyperoxaluria I/Urine"
"76","C00504","hmdb/HMDB00121.xml","441.139681375","Blood/Cellular Cytoplasm/Cerebrospinal Fluid (CSF)/Urine","Rheumatoid arthritis/Blood//Rheumatoid arthritis/Blood//Folate deficiency/Blood//Alzheimer's disease/Cerebrospinal Fluid (CSF)//fibromyalgia/Cerebrospinal Fluid (CSF)//Alzheimer's disease/Cerebrospinal Fluid (CSF)//Alzheimer's disease/Cerebrospinal Fluid (CSF)"
"77","C00031","hmdb/HMDB00122.xml","180.063388116","Blood/Breast Milk/Cerebrospinal Fluid (CSF)/Saliva/Urine","Diabetes mellitus/Blood//Diabetes mellitus/Blood//Heart Transplant/Blood//Growth hormone deficiency/Blood//Acute myelogenous leukemia (AML)/Blood//Hyperlipidaemia /Blood//Glucagon deficiency/Blood//Hypoadrenocorticism/Blood//3-Methyl-crotonyl-glycinuria/Blood//Alzheimer's disease/Cerebrospinal Fluid (CSF)//Diabetes/Urine//Diabetes/Urine//Type 1 diabetes Mellitus/Urine"
"78","C00037","hmdb/HMDB00123.xml","75.032028409","Bile/Blood/Cerebrospinal Fluid (CSF)/Saliva/Urine","Heart Transplant/Blood//Non-ketotic hyperglycinemia/Blood//D-Glyceric acidura/Blood//Refractory localization-related epilepsy (RLE)/Blood//Juvenile myoclonic epilepsy (JME)/Blood//Alzheimer's disease/Blood//Leukemia/Cerebrospinal Fluid (CSF)//Leukemia/Cerebrospinal Fluid (CSF)//control/Cerebrospinal Fluid (CSF)//Schizophrenia/Cerebrospinal Fluid (CSF)//Alzheimer's disease/Cerebrospinal Fluid (CSF)//Carbamoyl phosphate synthetase deficiency/Urine//ADPKD /Urine//Lung cancer/Urine//Alzheimer's disease/Urine//3-Hydroxy-3- methylglutaryl-CoA lyase (HL) deficency /Urine//3-Hydroxy-3- methylglutaryl-CoA lyase (HL) deficency /Urine//Arginosuccinic aciduria /Urine//Propionic acidemia /Urine//Iminoglycinuria/Urine//Propionic acidemia /Urine//Tyrosinemia I /Urine//Tyrosinemia I /Urine//Phenylketonuria /Urine//Phenylketonuria /Urine//Maple syrup urine disease /Urine//Aminoaciduria/Urine"
"79","C00085","hmdb/HMDB00124.xml","260.029718526","Blood/Cellular Cytoplasm",""
"80","C00051","hmdb/HMDB00125.xml","307.083805981","Blood/Cellular Cytoplasm/Cerebrospinal Fluid (CSF)/Urine","Canavan disease/Blood//Brain injury/Cerebrospinal Fluid (CSF)//Multiple sclerosis/Cerebrospinal Fluid (CSF)//Multiple sclerosis/Cerebrospinal Fluid (CSF)"
"81","C00093","hmdb/HMDB00126.xml","172.013674532","Blood/Urine",""
"82","C00191","hmdb/HMDB00127.xml","194.042652674","Blood/Urine",""
"83","C00581","hmdb/HMDB00128.xml","117.053826483","Blood/Cellular Cytoplasm/Cerebrospinal Fluid (CSF)/Urine","Chronic renal failure/Blood"
"84","C00544","hmdb/HMDB00130.xml","168.042258744","Blood/Urine","Alkaptonuria/Blood//Homogentisic Acid Oxidase deficiency (Alkaptonuria)/Urine//Alkaptonuria/Urine//Alkaptonuria/Urine"
"85","C00116","hmdb/HMDB00131.xml","92.047344122","Blood/Cerebrospinal Fluid (CSF)/Urine","Heart Transplant/Blood//Diabetes/Blood//Glycerol kinase deficiency/Blood//Glycerol Kinase Deficiency/Blood//Glycerol kinase deficiency/Urine//Glycerol Kinase Deficiency/Urine"
"86","C00242","hmdb/HMDB00132.xml","151.049409807","Cellular Cytoplasm/Urine","Lesch-Nyhan syndrome/Urine"
"87","C00387","hmdb/HMDB00133.xml","283.091668551","Blood/Cellular Cytoplasm/Urine","Purine-nucleoside phosphorylase (PNP; EC 2.4.2.1) deficiency./Urine//Purine-nucleoside phosphorylase deficiency/Urine"
"88","C00122","hmdb/HMDB00134.xml","116.010958616","Blood/Cerebrospinal Fluid (CSF)/Urine","Fumaric Aciduria/Blood//Alzheimer's disease/Cerebrospinal Fluid (CSF)//Fumaric Aciduria/Urine//Lung cancer/Urine"
